"y","MEN","URBAN","PRIVATE","AGE","SENIORITY"
1,1,0,1,71,27
0,1,0,1,51,8
1,0,1,1,35,14
0,0,0,1,47,8
0,1,0,1,77,14
1,1,0,1,21,5
1,1,1,1,36,10
1,1,1,1,37,13
0,0,0,1,44,3
1,0,0,1,26,4
0,1,1,1,22,2
0,1,1,1,60,3
0,1,0,1,68,21
0,1,1,1,28,5
0,1,0,1,66,8
0,1,1,1,48,15
1,1,1,1,42,5
1,1,0,1,44,17
1,1,0,1,34,3
0,1,0,1,43,15
0,1,1,1,38,4
0,1,0,1,84,14
0,1,0,1,30,4
1,1,1,1,44,19
0,1,1,1,48,9
0,1,0,1,49,7
0,1,0,1,31,13
0,1,1,1,63,9
0,1,1,1,33,14
1,0,0,1,56,20
1,0,1,1,38,12
0,1,1,1,50,20
0,0,0,1,39,13
0,0,1,1,63,19
0,1,0,1,82,5
0,1,0,1,16,3
0,1,0,1,58,17
0,0,0,1,27,11
0,1,0,1,51,2
0,1,0,1,24,4
0,1,1,1,56,9
0,0,0,1,47,4
1,0,1,1,26,5
0,1,0,1,68,6
0,1,0,1,47,18
1,1,1,1,50,20
1,1,0,1,64,26
0,1,0,1,62,15
0,0,1,1,60,7
0,1,1,1,56,3
1,1,0,1,48,20
0,1,0,1,44,5
0,0,0,1,35,13
1,1,0,1,46,25
1,0,0,1,35,22
1,0,1,1,50,12
0,1,0,1,53,13
0,1,0,1,43,4
0,1,0,1,56,19
1,1,0,1,54,18
1,1,0,1,37,20
0,1,0,1,51,3
0,1,0,1,26,2
1,0,1,1,33,14
1,0,0,1,44,13
0,0,0,1,61,9
1,0,1,1,58,28
0,1,1,1,39,15
1,1,1,1,44,18
1,1,0,0,43,8
0,1,0,0,34,9
0,1,0,1,35,17
0,1,0,1,38,15
0,1,1,1,34,6
1,0,0,1,34,14
0,1,1,1,38,10
1,0,0,1,43,9
0,1,0,1,29,2
0,1,0,1,52,8
1,1,0,1,45,23
0,1,0,1,47,8
1,0,1,1,53,15
0,1,0,1,71,21
0,1,1,1,61,6
1,1,0,1,53,20
0,1,0,1,32,7
0,1,0,1,54,2
1,0,1,1,26,3
0,1,0,1,41,13
1,0,1,1,55,5
1,0,1,1,45,3
1,1,1,1,46,18
0,1,1,1,74,11
0,1,0,1,63,14
0,1,0,1,35,7
0,1,0,1,36,14
0,1,0,1,54,7
0,1,0,1,25,3
0,1,0,1,50,2
1,0,1,1,49,6
1,1,0,1,37,16
0,1,0,1,21,3
0,1,0,1,30,2
1,1,1,1,43,15
0,0,1,1,36,14
0,1,0,1,48,18
1,0,1,1,26,6
1,0,1,1,51,8
0,0,1,1,29,4
0,0,0,1,40,10
0,1,0,1,44,2
0,1,0,1,32,8
1,1,1,1,34,3
1,1,1,1,40,16
0,1,1,1,47,13
0,1,1,1,35,11
1,1,1,1,37,13
0,1,0,1,54,4
1,1,1,1,48,7
1,0,0,1,36,4
0,1,0,1,51,5
1,0,0,1,40,8
1,1,1,1,36,9
1,1,1,1,36,6
1,1,1,1,43,21
1,0,0,1,52,23
0,0,0,1,35,2
1,0,0,1,35,7
1,1,1,1,51,21
1,0,1,1,46,16
1,0,1,1,61,9
0,1,0,1,55,15
1,1,1,1,37,14
0,1,0,1,46,5
1,0,1,1,40,6
0,1,0,1,73,15
1,1,1,1,73,18
1,0,1,1,44,7
0,1,1,1,49,16
1,0,0,1,18,6
0,1,0,1,55,15
0,1,0,1,32,7
0,1,1,1,56,21
1,1,0,1,46,20
0,1,0,1,48,13
1,0,1,1,46,21
0,1,1,1,43,11
1,0,0,1,26,3
1,0,1,1,64,3
0,1,0,1,28,5
0,1,0,1,59,9
0,1,0,1,34,24
0,1,0,1,27,4
1,1,0,1,44,16
1,1,1,1,22,2
0,1,1,1,34,3
0,1,0,1,32,10
0,1,0,1,41,20
0,1,1,1,47,22
0,1,1,0,45,9
1,0,0,1,30,15
0,1,1,1,50,9
1,1,1,1,37,10
1,1,0,1,51,25
0,0,0,1,45,4
0,0,1,1,44,3
0,1,0,1,41,14
1,1,1,1,45,15
0,1,0,1,38,9
1,0,1,1,54,7
0,1,0,1,44,13
0,0,0,1,50,15
0,1,0,1,63,5
1,0,1,1,37,6
0,1,0,1,56,17
0,1,0,1,58,17
0,0,1,1,44,7
0,1,0,1,52,12
1,1,0,1,50,23
0,1,0,1,39,10
0,1,1,1,44,14
1,0,0,1,42,8
0,1,0,1,63,20
0,1,0,1,15,3
0,1,1,1,64,17
1,1,1,1,35,14
0,0,0,1,28,3
1,1,1,1,56,18
0,0,0,1,39,2
1,1,0,1,48,10
1,1,0,1,35,2
1,1,0,1,53,30
1,0,1,1,57,10
1,1,1,1,56,20
0,1,0,1,39,14
1,1,1,1,54,13
0,1,0,1,33,2
1,0,1,1,38,10
0,1,0,1,52,14
0,1,0,1,43,7
1,1,1,1,54,6
0,0,0,1,50,9
1,1,0,1,42,15
0,1,0,1,60,11
1,0,1,1,43,18
1,1,0,1,50,29
0,1,0,1,66,6
0,1,1,1,30,3
1,1,0,1,30,16
0,1,0,1,29,6
0,1,1,1,35,4
0,0,1,1,46,5
0,1,0,1,39,16
0,1,0,1,38,14
1,1,1,1,35,14
0,1,1,1,42,12
1,1,1,1,44,21
1,1,0,1,30,11
1,0,0,1,56,23
0,1,0,1,37,11
0,1,0,1,47,3
0,1,0,1,62,9
0,1,1,1,26,7
1,0,0,1,39,15
0,1,1,1,60,6
1,1,0,1,29,12
0,1,0,1,55,23
0,0,0,1,67,6
0,1,0,1,49,8
1,0,1,1,36,2
1,1,0,1,54,16
1,0,0,1,36,7
0,1,1,1,54,2
0,0,0,1,48,7
0,1,0,1,38,14
0,1,0,1,62,12
0,1,0,1,41,8
1,1,1,1,31,8
0,1,0,1,41,40
0,1,0,1,54,8
1,1,1,1,69,20
1,1,1,1,43,8
0,1,0,1,30,5
0,1,0,1,43,3
1,1,0,1,35,4
1,0,0,1,30,4
0,1,0,1,35,12
0,1,1,1,55,19
0,1,1,1,72,13
1,0,1,1,29,6
1,0,0,1,44,14
1,1,1,1,57,16
1,1,0,1,41,17
1,0,0,1,35,11
0,1,0,1,44,12
0,1,0,1,63,21
0,1,1,1,43,6
1,1,1,1,51,13
1,1,1,1,34,3
0,1,0,1,63,24
0,0,0,1,34,4
0,1,0,1,76,15
0,1,0,1,21,2
0,1,0,1,78,8
1,1,1,1,44,8
0,1,0,1,37,11
0,1,1,1,48,2
1,1,1,1,63,12
0,0,0,1,50,4
0,0,0,1,52,29
0,1,0,1,55,19
0,1,0,1,38,16
1,1,1,1,40,6
0,1,0,1,37,8
0,1,1,1,38,13
0,0,0,1,28,2
0,1,0,1,57,17
0,0,1,1,35,15
0,1,0,1,36,7
1,0,1,1,61,18
0,1,1,1,62,17
0,1,0,1,67,7
0,1,0,1,46,15
0,1,0,1,52,8
0,1,0,1,30,8
0,0,1,1,48,2
0,1,0,1,81,3
1,0,1,1,32,9
1,0,1,1,51,9
0,1,0,1,40,7
1,0,0,1,42,14
0,1,0,1,36,9
1,1,1,1,37,3
0,1,0,1,73,21
0,1,0,1,45,8
0,0,1,1,26,3
0,1,1,1,70,18
0,1,1,1,59,2
1,1,0,1,36,6
1,0,1,1,53,19
1,0,1,1,19,3
1,0,0,1,29,10
0,1,0,1,59,15
1,0,1,1,52,4
0,0,1,1,39,15
1,1,1,1,75,18
0,0,0,1,56,7
1,0,1,1,60,20
1,0,0,1,27,3
1,1,0,1,28,3
0,1,0,1,74,15
1,1,0,1,39,16
1,0,0,1,29,12
0,0,0,1,46,7
1,0,1,1,53,14
1,1,1,1,61,16
1,1,0,1,60,6
1,1,1,1,34,4
0,1,0,1,41,7
0,0,0,1,53,3
0,1,1,0,54,16
0,1,0,1,67,3
0,0,1,1,29,2
0,1,0,1,74,10
1,0,0,1,27,2
0,1,0,1,65,15
1,1,1,1,42,12
0,1,0,1,66,15
1,1,0,1,56,27
1,1,1,1,50,21
0,0,0,1,20,2
0,0,1,1,45,16
0,1,1,1,36,10
0,1,0,1,72,21
0,0,0,1,49,3
0,1,0,1,42,16
0,1,0,1,46,7
1,1,0,1,39,15
0,0,0,1,26,5
0,1,0,1,33,10
0,1,0,1,37,19
0,1,1,1,29,8
1,0,1,1,30,4
1,1,1,1,17,2
0,1,1,1,65,18
0,1,1,1,47,18
1,0,1,1,55,6
0,1,0,1,37,6
0,1,0,1,32,9
0,1,0,1,41,2
0,0,1,1,38,8
0,0,0,1,55,27
0,1,1,1,38,22
0,1,1,1,42,9
1,1,1,1,41,18
0,1,0,1,58,14
1,0,1,1,33,6
0,0,0,1,43,13
0,1,0,1,52,27
1,0,1,1,48,6
0,1,1,1,60,9
0,1,1,1,18,6
1,0,1,1,34,20
0,1,0,1,61,6
0,1,1,1,34,12
0,1,0,0,27,2
0,1,0,1,69,15
1,0,0,1,38,16
0,1,1,1,68,4
1,1,0,1,58,21
1,0,1,1,42,10
0,0,1,1,43,24
0,1,0,1,47,8
0,1,0,1,64,24
0,1,0,1,33,15
0,0,1,1,52,8
1,1,1,1,33,11
0,0,1,1,57,20
0,1,0,1,29,4
1,0,1,1,55,21
0,1,0,1,33,8
1,0,0,1,23,6
0,1,1,1,41,17
1,1,1,1,30,4
1,1,1,1,34,11
1,1,0,1,18,2
0,0,1,1,45,2
0,1,1,1,38,7
0,0,1,1,32,4
1,0,0,1,70,19
0,1,1,1,59,19
1,0,0,1,35,15
1,1,0,1,49,21
0,0,1,1,61,14
1,1,0,1,49,20
0,1,0,1,53,14
1,0,0,1,33,15
0,1,0,1,45,11
0,1,1,1,36,15
0,1,0,1,59,21
1,0,1,1,29,3
0,1,0,1,58,19
0,1,0,1,45,16
1,1,1,1,50,26
0,1,0,1,30,6
0,0,0,1,51,6
0,1,1,1,46,9
0,1,0,1,33,14
0,1,1,1,40,26
0,1,0,1,34,8
0,1,0,1,45,5
1,0,1,1,49,15
0,1,0,1,70,5
0,1,0,1,75,13
0,1,0,1,34,6
1,1,0,1,37,15
1,1,0,1,43,15
1,1,1,1,49,8
1,1,1,1,41,16
1,1,0,1,38,14
0,1,0,1,56,14
0,1,0,1,51,3
1,1,1,1,43,15
0,1,0,1,64,3
0,1,1,1,76,21
0,1,0,1,39,4
1,1,0,1,31,12
1,1,0,1,44,22
1,0,0,1,43,17
1,1,1,1,25,2
0,1,0,1,34,3
0,1,1,1,48,17
1,1,1,1,32,14
1,0,1,1,43,2
0,1,0,1,38,18
0,1,0,1,49,9
1,1,1,1,73,20
0,1,0,1,33,7
0,1,0,1,68,14
1,1,1,1,46,12
1,1,0,1,41,16
0,1,1,1,44,2
0,0,0,1,57,6
1,0,0,1,37,6
0,1,0,1,36,10
0,1,0,1,31,7
1,0,1,1,37,4
0,0,0,1,23,3
0,1,1,1,47,10
1,1,1,1,48,20
0,1,1,1,34,12
0,1,0,1,62,21
0,1,1,1,45,13
0,1,0,1,43,7
0,1,0,1,56,9
0,1,0,1,30,6
0,1,0,1,44,4
1,1,1,1,71,15
0,1,0,1,63,19
1,1,0,1,34,13
1,1,0,1,51,21
0,0,0,1,36,15
0,1,0,1,45,19
0,0,1,1,38,12
1,0,1,1,48,6
0,1,0,1,40,14
0,1,0,1,38,9
0,1,0,1,55,11
0,1,0,1,27,6
0,1,0,1,70,13
1,1,1,1,35,9
0,1,0,1,34,2
1,1,1,1,53,13
0,1,1,1,48,5
0,1,0,1,36,3
0,1,0,1,42,6
1,0,0,1,24,3
0,1,0,1,58,22
0,1,0,1,22,4
0,1,1,1,54,5
1,0,0,1,32,7
0,1,0,1,40,8
0,0,1,1,44,14
0,1,0,1,42,2
1,1,0,1,35,16
0,1,1,1,58,7
0,1,0,0,29,10
0,1,0,1,28,2
0,1,0,1,50,7
0,1,0,1,44,8
1,1,0,1,52,26
0,1,1,1,46,6
0,1,0,1,35,8
0,1,1,1,65,9
0,1,1,1,53,20
0,1,1,1,53,4
0,1,1,1,52,14
0,1,0,1,35,2
0,1,0,1,68,20
1,0,1,1,50,4
0,1,1,1,49,8
0,1,0,1,32,8
1,1,0,1,36,12
0,0,0,1,46,7
0,1,0,1,61,13
1,1,1,1,48,21
0,0,1,1,37,13
0,1,0,1,55,21
1,1,1,1,34,9
0,0,0,1,52,7
0,1,0,1,52,14
0,1,0,1,74,11
0,1,0,1,38,3
0,1,0,1,49,12
0,1,0,1,36,12
0,0,0,1,30,12
0,0,1,1,71,9
1,1,1,1,49,8
0,1,0,1,37,10
1,1,0,1,44,14
1,0,1,1,30,2
1,1,0,1,30,5
0,1,0,1,35,3
0,1,0,1,74,3
0,1,0,1,47,10
0,0,1,1,38,8
1,0,1,1,52,13
0,1,1,1,61,8
0,1,0,1,41,13
0,1,1,1,31,2
1,1,1,1,44,14
1,1,0,1,43,17
1,1,0,1,55,8
1,1,1,1,43,7
0,1,0,1,67,18
1,1,1,1,47,11
0,1,0,1,54,3
0,1,0,1,46,8
0,1,0,1,71,13
0,1,1,1,41,2
0,1,0,1,29,4
0,1,0,1,41,14
0,0,0,1,60,6
0,1,0,1,47,3
0,1,0,1,42,4
0,0,0,1,37,2
0,1,0,0,59,21
0,1,0,1,67,7
0,1,0,1,72,21
0,0,0,1,36,10
0,0,0,1,60,6
1,1,1,1,43,8
0,1,1,1,48,6
0,1,1,0,74,3
1,1,0,1,34,13
0,1,0,1,52,14
1,1,0,1,52,24
1,1,1,1,44,13
0,0,0,1,52,8
1,1,1,1,62,24
1,0,0,1,28,5
1,1,0,1,38,23
0,1,0,1,46,22
0,1,1,1,37,5
0,1,0,1,43,5
1,1,0,1,57,6
0,1,1,1,45,9
0,0,1,1,28,5
0,1,0,1,58,10
0,1,0,1,47,4
1,1,0,1,45,16
1,0,0,1,28,12
1,1,1,1,27,2
0,1,0,1,36,11
1,1,0,1,39,16
0,0,0,1,30,5
1,1,0,1,29,8
0,1,0,1,46,15
1,1,0,1,41,18
0,1,0,1,36,15
0,1,1,1,30,9
0,0,1,1,67,4
0,0,0,1,46,8
0,1,0,1,29,4
0,1,1,1,63,4
1,1,0,1,62,23
0,0,0,1,43,4
1,0,0,1,65,16
0,1,0,1,48,25
0,0,0,1,32,2
1,0,1,1,57,5
0,1,0,1,21,3
0,1,0,1,55,13
0,1,0,1,36,7
0,1,0,1,44,3
0,1,0,1,22,3
0,1,1,0,29,2
1,1,1,1,44,12
0,1,0,1,59,2
1,1,1,1,57,14
0,1,0,1,88,24
1,0,0,1,28,6
0,1,0,1,51,14
0,1,1,1,69,10
1,0,0,1,42,11
0,1,0,1,42,3
0,1,0,1,53,9
1,0,1,1,36,9
0,1,0,1,61,15
0,0,0,1,45,18
0,0,0,1,46,6
1,1,0,1,38,9
1,1,0,1,59,26
0,1,0,1,55,7
0,1,0,1,31,2
1,0,1,1,39,3
1,1,0,1,50,19
1,1,1,1,48,17
0,1,0,1,44,13
1,1,1,1,40,11
0,1,1,1,48,4
0,1,0,1,58,5
0,0,0,1,55,15
0,1,0,1,35,10
0,0,0,1,40,3
0,1,1,1,37,6
0,1,0,1,66,27
1,1,1,1,36,4
0,1,0,1,38,13
0,1,1,1,34,10
1,0,0,1,59,26
0,0,0,1,53,6
1,0,0,1,33,9
0,0,0,1,54,8
1,0,1,1,35,4
0,0,0,1,47,8
0,1,0,1,40,4
0,1,0,1,59,2
0,1,0,1,76,7
0,1,1,1,55,5
0,0,1,1,42,10
1,1,1,1,39,15
1,1,1,1,63,20
1,1,0,1,24,3
0,1,0,1,63,15
0,1,0,0,37,13
0,1,0,1,48,3
1,1,0,1,38,15
0,1,0,1,51,3
0,1,1,1,62,10
0,1,0,1,40,12
0,1,1,1,56,4
0,1,0,1,55,4
0,0,1,1,61,6
0,1,0,1,27,5
0,1,1,1,43,2
1,1,0,1,38,15
1,0,0,1,71,19
1,1,1,1,48,20
0,1,0,1,79,21
1,1,0,1,66,28
0,1,1,1,55,7
1,1,0,1,38,14
1,1,0,1,70,32
1,1,1,1,38,15
0,1,0,1,35,7
0,1,0,1,44,8
0,1,0,1,59,3
1,0,1,1,44,9
0,0,0,1,55,11
0,1,1,1,50,2
0,1,0,1,54,15
1,0,0,1,37,11
1,1,1,1,47,17
0,0,0,1,54,19
0,1,0,1,35,18
0,1,0,1,36,9
0,1,0,1,60,2
0,0,0,1,37,4
1,1,0,1,36,2
0,1,1,1,58,16
0,1,0,1,41,9
0,1,0,1,64,6
0,1,0,1,35,5
0,0,0,1,43,3
0,1,0,1,36,3
0,1,0,1,27,4
0,1,1,1,31,4
0,1,0,1,55,18
1,0,1,1,39,15
0,1,1,1,31,15
1,1,0,1,34,13
1,1,0,1,18,3
0,1,0,1,55,10
1,1,1,1,34,9
1,0,1,1,60,19
0,1,0,1,50,14
1,1,1,1,22,4
0,0,1,1,47,9
1,1,0,1,50,23
0,1,1,1,61,13
0,1,0,1,71,20
0,1,0,1,38,13
1,1,1,1,59,20
0,1,1,1,47,15
1,0,0,1,35,3
1,1,1,1,30,2
0,1,0,1,45,6
1,1,0,1,22,3
1,1,0,1,35,11
0,1,0,1,27,14
1,1,0,1,31,13
0,1,0,1,42,8
0,1,1,1,49,4
0,1,0,1,43,13
1,0,0,1,48,8
0,1,0,1,50,6
1,1,1,1,33,9
0,1,0,0,58,14
0,1,0,1,41,15
0,1,0,1,41,7
1,0,0,1,32,13
0,0,0,1,57,2
0,1,1,1,58,3
1,1,0,1,67,24
0,1,1,1,43,13
0,0,1,1,52,9
0,1,0,1,51,15
0,1,0,1,63,13
0,0,0,1,36,15
1,1,1,1,37,11
0,1,1,1,41,9
0,1,1,1,46,10
0,1,0,1,66,18
0,1,0,1,41,11
1,0,0,1,21,2
1,1,1,1,31,3
0,1,1,1,48,6
1,1,0,1,40,14
1,1,1,1,37,9
0,1,0,1,70,26
0,1,1,1,64,26
0,1,0,1,38,12
1,1,0,1,25,18
1,0,0,1,35,12
1,1,0,1,85,35
0,1,0,1,66,14
0,1,1,1,51,20
1,0,1,1,42,12
0,0,0,1,41,27
1,1,0,1,31,20
0,0,1,1,36,3
0,0,0,1,28,3
0,0,0,1,29,11
0,1,0,1,58,5
0,0,0,1,39,8
1,1,0,1,38,14
0,0,1,1,50,5
0,1,0,1,43,4
0,1,0,1,45,23
0,0,0,1,33,13
1,1,0,1,37,15
0,1,0,1,24,4
0,1,0,1,51,3
1,1,1,1,45,6
1,1,1,1,43,17
1,1,0,1,30,12
1,0,0,1,24,2
1,1,1,1,65,13
0,1,0,1,31,4
0,0,0,1,49,14
0,1,0,1,53,7
0,0,1,1,27,5
1,1,0,1,44,19
0,1,0,1,39,7
0,1,1,1,71,19
1,0,1,1,53,5
0,1,1,1,42,9
0,1,0,1,33,7
0,1,0,1,41,13
1,1,0,1,74,29
0,1,0,1,72,21
0,1,1,1,44,15
1,0,0,1,27,5
0,1,1,1,63,24
1,0,0,1,33,13
1,0,1,1,52,17
0,1,0,1,65,7
0,1,0,1,71,22
1,0,0,1,25,5
0,1,0,1,42,6
0,1,0,1,64,8
1,1,0,1,50,12
1,1,1,1,49,18
1,0,0,1,24,4
0,1,0,1,53,8
1,1,1,1,51,17
1,0,1,1,68,19
0,1,0,1,41,24
1,0,0,1,36,14
1,1,1,1,34,15
0,1,0,1,41,8
0,1,0,1,74,14
0,1,0,1,56,10
0,1,0,1,67,11
0,1,1,1,69,14
0,1,0,1,48,12
0,0,1,1,33,8
0,1,0,1,38,4
0,0,0,1,49,3
0,1,0,1,33,7
0,1,1,1,74,12
0,1,0,1,58,5
1,1,1,1,67,15
1,1,0,1,48,18
1,0,0,1,47,23
0,1,0,1,48,9
0,1,0,1,53,14
1,0,0,1,49,15
1,0,0,1,49,12
0,0,0,1,43,12
1,1,0,1,59,25
0,1,0,1,71,8
1,1,1,1,36,9
1,1,1,1,47,16
1,0,1,1,31,16
1,1,0,1,44,20
1,1,1,1,48,5
1,1,1,1,56,26
0,1,0,1,33,9
1,0,0,1,39,12
0,0,0,1,43,12
0,1,1,1,44,21
1,1,1,1,33,10
0,1,0,1,70,14
1,1,1,1,44,10
0,0,0,1,53,21
1,1,0,1,27,12
1,1,0,1,49,19
0,1,0,1,67,2
0,1,1,1,70,14
0,1,0,1,22,3
0,1,0,1,38,8
1,0,1,1,68,14
1,0,1,1,30,6
0,1,0,1,57,18
0,0,1,1,44,15
1,1,1,1,50,24
0,0,1,1,38,10
1,1,1,1,57,23
0,1,0,1,73,15
0,1,1,1,70,5
1,1,0,1,51,23
0,1,1,1,53,4
1,1,0,1,32,8
1,1,0,1,52,11
0,1,1,1,43,14
0,1,0,1,37,28
0,1,0,1,50,4
1,1,1,1,25,3
0,1,1,1,46,14
0,1,1,1,52,6
0,1,0,1,48,3
0,1,0,1,50,12
0,1,0,1,53,7
0,1,0,1,30,4
0,1,0,1,60,11
0,1,1,1,53,22
0,1,0,1,68,7
1,0,0,1,49,6
0,0,0,1,48,8
1,1,1,1,53,27
0,0,1,1,31,7
0,0,0,1,53,8
0,1,1,1,48,3
1,0,0,1,27,4
1,1,1,1,68,15
1,1,0,1,46,16
0,1,0,1,58,26
0,0,0,1,30,4
0,1,0,1,41,12
0,1,0,1,33,3
1,0,0,1,28,3
1,1,1,1,54,18
0,0,0,1,56,8
1,1,1,1,34,8
0,1,0,1,58,17
1,1,1,1,42,14
1,1,0,1,49,18
1,1,1,1,50,8
0,1,0,1,39,14
0,0,0,1,30,19
0,0,1,1,30,4
1,1,1,1,61,28
1,0,0,1,27,4
1,1,1,1,46,9
0,0,0,1,33,20
1,1,0,1,37,15
1,0,1,1,59,24
0,1,0,1,50,7
1,1,0,1,39,14
0,0,0,1,62,3
0,1,1,1,59,21
0,1,0,1,44,10
1,0,1,1,42,6
0,0,0,1,48,4
0,1,0,1,40,8
1,1,0,1,36,17
0,1,1,1,65,2
0,1,0,1,67,11
0,1,1,0,28,7
0,1,0,1,30,3
0,1,1,1,69,14
0,0,1,1,29,4
1,1,1,1,47,10
1,1,0,1,67,26
0,1,0,1,36,3
0,0,0,1,38,16
1,1,1,1,61,24
0,1,0,1,59,2
1,1,0,1,47,18
0,1,0,1,68,12
1,1,0,1,33,34
0,1,1,1,18,2
0,1,0,1,34,14
0,1,0,1,49,6
0,1,0,1,44,11
1,0,0,1,33,15
0,1,1,1,46,21
0,1,0,1,66,15
0,1,0,1,58,12
0,0,0,1,40,2
0,1,1,1,49,9
0,1,1,1,29,13
0,1,1,1,51,21
1,1,0,1,32,12
0,1,0,1,45,11
0,1,0,1,60,7
0,1,0,1,34,2
0,1,1,1,29,4
1,1,1,1,38,14
0,1,0,1,46,3
1,1,0,1,50,19
1,1,0,1,37,15
1,0,1,1,46,18
0,1,1,1,88,18
0,1,0,1,35,8
0,1,1,1,63,13
0,1,1,1,65,20
0,1,0,1,61,7
0,1,0,1,31,2
0,1,0,1,53,3
0,1,0,1,71,3
0,0,0,1,36,4
0,1,0,1,57,2
0,1,1,1,67,19
0,1,1,1,60,5
1,1,0,1,56,20
0,1,0,1,39,10
0,0,0,1,36,6
1,1,1,1,39,5
1,0,0,1,43,21
0,0,1,1,58,22
0,0,0,1,70,3
0,0,1,1,62,13
0,1,0,1,35,8
0,0,0,1,50,20
0,0,0,1,38,12
0,1,0,1,77,8
0,1,0,1,40,13
1,1,0,1,33,9
0,0,1,1,63,4
1,0,0,1,44,12
0,1,1,1,52,3
1,1,0,1,43,15
0,1,0,1,43,8
0,0,0,1,53,3
1,0,0,1,48,25
0,1,1,1,55,5
0,1,0,1,55,16
1,0,1,1,63,18
0,1,0,1,27,5
1,1,0,1,35,9
1,1,1,1,63,14
0,1,1,1,36,11
0,1,0,1,53,15
0,1,0,1,45,2
0,1,1,1,54,11
0,1,0,1,63,20
0,1,0,1,72,8
0,1,0,1,54,4
0,1,0,1,62,8
0,1,0,1,75,11
1,0,1,1,40,7
0,0,0,1,68,7
0,0,1,1,44,3
